gmTs,Match_No,Date,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Vote_Home,Vote_Draw,Vote_Away,Public_Pick,Is_Upset
250003,8,2024-08-17,LaLiga,Valencia,Barcelona,1,2,A,12.5,18.8,68.7,A,0
250003,9,2024-08-17,LaLiga,Osasuna,Leganes,1,1,D,63.4,21.3,15.3,H,1
250003,10,2024-08-18,LaLiga,Mallorca,Real Madrid,1,1,D,1.2,17.0,81.9,A,1
250003,11,2024-08-18,EPL,Chelsea,Man City,0,2,A,16.0,18.2,65.8,A,0
250003,12,2024-08-18,LaLiga,Sociedad,Vallecano,1,2,A,76.1,19.1,4.8,H,1
250003,13,2024-08-18,EPL,Brentford,Crystal Palace,2,1,H,39.5,27.9,32.7,H,0
250003,14,2024-08-19,LaLiga,Valladolid,Espanol,1,0,H,40.1,31.8,28.1,H,0
250004,1,2024-08-17,LaLiga,Valencia,Barcelona,1,2,A,12.5,18.8,68.7,A,0
250004,2,2024-08-17,LaLiga,Osasuna,Leganes,1,1,D,63.4,21.3,15.3,H,1
250004,3,2024-08-18,LaLiga,Mallorca,Real Madrid,1,1,D,1.2,17.0,81.9,A,1
250004,4,2024-08-18,EPL,Chelsea,Man City,0,2,A,16.0,18.2,65.8,A,0
250004,5,2024-08-18,LaLiga,Sociedad,Vallecano,1,2,A,76.1,19.1,4.8,H,1
250004,6,2024-08-18,EPL,Brentford,Crystal Palace,2,1,H,39.5,27.9,32.7,H,0
250004,7,2024-08-19,LaLiga,Valladolid,Espanol,1,0,H,40.1,31.8,28.1,H,0
250004,8,2024-08-19,EPL,Leicester,Tottenham,1,1,D,9.9,16.5,73.6,A,1
250004,9,2024-08-19,LaLiga,Villarreal,Ath Madrid,2,2,D,28.9,25.8,45.4,A,1
250004,10,2024-08-23,LaLiga,Celta,Valencia,3,1,H,45.4,28.1,26.5,H,0
250004,11,2024-08-23,LaLiga,Sevilla,Villarreal,1,2,A,39.6,26.4,34.0,H,1
250004,12,2024-08-24,LaLiga,Osasuna,Mallorca,1,0,H,38.8,30.6,30.6,H,0
250004,13,2024-08-24,LaLiga,Getafe,Vallecano,0,0,D,38.7,31.6,29.6,H,1
250004,14,2024-08-24,LaLiga,Barcelona,Ath Bilbao,2,1,H,73.1,16.9,10.0,H,0
250005,1,2024-08-19,EPL,Leicester,Tottenham,1,1,D,9.9,16.5,73.6,A,1
250005,2,2024-08-19,LaLiga,Villarreal,Ath Madrid,2,2,D,28.9,25.8,45.4,A,1
250005,3,2024-08-23,LaLiga,Celta,Valencia,3,1,H,45.4,28.1,26.5,H,0
250005,4,2024-08-23,LaLiga,Sevilla,Villarreal,1,2,A,39.6,26.4,34.0,H,1
250005,5,2024-08-24,LaLiga,Osasuna,Mallorca,1,0,H,38.8,30.6,30.6,H,0
250005,6,2024-08-24,LaLiga,Getafe,Vallecano,0,0,D,38.7,31.6,29.6,H,1
250005,7,2024-08-24,LaLiga,Barcelona,Ath Bilbao,2,1,H,73.1,16.9,10.0,H,0
250005,8,2024-08-24,EPL,Tottenham,Everton,4,0,H,82.0,14.9,3.1,H,0
250005,9,2024-08-24,EPL,Southampton,Nott'm Forest,0,1,A,37.3,28.8,33.9,H,1
250005,10,2024-08-24,EPL,Man City,Ipswich,4,1,H,88.0,6.0,6.0,H,0
250005,11,2024-08-24,EPL,Fulham,Leicester,2,1,H,65.5,18.9,15.6,H,0
250005,12,2024-08-24,EPL,Crystal Palace,West Ham,0,2,A,44.1,26.3,29.6,H,1
250005,13,2024-08-24,EPL,Brighton,Man United,2,1,H,38.1,25.7,36.2,H,0
250005,14,2024-08-24,LaLiga,Espanol,Sociedad,0,1,A,24.3,29.6,46.2,A,0
250006,1,2024-08-24,EPL,Tottenham,Everton,4,0,H,82.0,14.9,3.1,H,0
250006,2,2024-08-24,EPL,Southampton,Nott'm Forest,0,1,A,37.3,28.8,33.9,H,1
250006,3,2024-08-24,EPL,Man City,Ipswich,4,1,H,88.0,6.0,6.0,H,0
250006,4,2024-08-24,EPL,Fulham,Leicester,2,1,H,65.5,18.9,15.6,H,0
250006,5,2024-08-24,EPL,Crystal Palace,West Ham,0,2,A,44.1,26.3,29.6,H,1
250006,6,2024-08-24,EPL,Brighton,Man United,2,1,H,38.1,25.7,36.2,H,0
250006,7,2024-08-24,LaLiga,Espanol,Sociedad,0,1,A,24.3,29.6,46.2,A,0
250006,8,2024-08-24,EPL,Aston Villa,Arsenal,0,2,A,14.4,18.5,67.0,A,0
250006,9,2024-08-25,EPL,Liverpool,Brentford,2,0,H,88.0,12.4,-0.4,H,0
250006,10,2024-08-25,LaLiga,Real Madrid,Valladolid,3,0,H,88.0,9.5,2.5,H,0
250006,11,2024-08-25,EPL,Bournemouth,Newcastle,1,1,D,32.5,24.8,42.8,A,1
250006,12,2024-08-25,LaLiga,Leganes,Las Palmas,2,1,H,42.1,31.6,26.3,H,0
250006,13,2024-08-25,LaLiga,Alaves,Betis,0,0,D,40.0,30.7,29.3,H,1
250006,14,2024-08-25,EPL,Wolves,Chelsea,2,6,A,14.3,17.8,67.9,A,0
250007,1,2024-08-24,EPL,Aston Villa,Arsenal,0,2,A,14.4,18.5,67.0,A,0
250007,2,2024-08-25,EPL,Liverpool,Brentford,2,0,H,88.0,12.4,-0.4,H,0
250007,3,2024-08-25,LaLiga,Real Madrid,Valladolid,3,0,H,88.0,9.5,2.5,H,0
250007,4,2024-08-25,EPL,Bournemouth,Newcastle,1,1,D,32.5,24.8,42.8,A,1
250007,5,2024-08-25,LaLiga,Leganes,Las Palmas,2,1,H,42.1,31.6,26.3,H,0
250007,6,2024-08-25,LaLiga,Alaves,Betis,0,0,D,40.0,30.7,29.3,H,1
250007,7,2024-08-25,EPL,Wolves,Chelsea,2,6,A,14.3,17.8,67.9,A,0
250007,8,2024-08-25,LaLiga,Ath Madrid,Girona,3,0,H,74.4,17.4,8.2,H,0
250007,9,2024-08-26,LaLiga,Villarreal,Celta,4,3,H,48.4,27.2,24.3,H,0
250007,10,2024-08-27,LaLiga,Mallorca,Sevilla,0,0,D,40.0,30.7,29.3,H,1
250007,11,2024-08-27,LaLiga,Vallecano,Barcelona,1,2,A,9.5,18.4,72.1,A,0
250007,12,2024-08-28,LaLiga,Ath Bilbao,Valencia,1,0,H,73.7,18.4,8.0,H,0
250007,13,2024-08-28,LaLiga,Sociedad,Alaves,1,2,A,70.2,20.4,9.4,H,1
250007,14,2024-08-28,LaLiga,Valladolid,Leganes,0,0,D,41.6,31.9,26.6,H,1
250008,1,2024-08-25,LaLiga,Ath Madrid,Girona,3,0,H,74.4,17.4,8.2,H,0
250008,2,2024-08-26,LaLiga,Villarreal,Celta,4,3,H,48.4,27.2,24.3,H,0
250008,3,2024-08-27,LaLiga,Mallorca,Sevilla,0,0,D,40.0,30.7,29.3,H,1
250008,4,2024-08-27,LaLiga,Vallecano,Barcelona,1,2,A,9.5,18.4,72.1,A,0
250008,5,2024-08-28,LaLiga,Ath Bilbao,Valencia,1,0,H,73.7,18.4,8.0,H,0
250008,6,2024-08-28,LaLiga,Sociedad,Alaves,1,2,A,70.2,20.4,9.4,H,1
250008,7,2024-08-28,LaLiga,Valladolid,Leganes,0,0,D,41.6,31.9,26.6,H,1
250008,8,2024-08-28,LaLiga,Ath Madrid,Espanol,0,0,D,88.0,13.6,-1.6,H,1
250008,9,2024-08-29,LaLiga,Girona,Osasuna,4,0,H,68.8,17.5,13.7,H,0
250008,10,2024-08-29,LaLiga,Las Palmas,Real Madrid,1,1,D,-0.6,14.3,86.3,A,1
250008,11,2024-08-31,EPL,Nott'm Forest,Wolves,1,1,D,48.1,26.0,26.0,H,1
250008,12,2024-08-31,LaLiga,Barcelona,Valladolid,7,0,H,88.0,11.3,0.7,H,0
250008,13,2024-08-31,EPL,Ipswich,Fulham,1,1,D,31.6,27.1,41.3,A,1
250008,14,2024-08-31,LaLiga,Espanol,Vallecano,2,1,H,34.1,31.8,34.1,H,0
250009,1,2024-08-28,LaLiga,Ath Madrid,Espanol,0,0,D,88.0,13.6,-1.6,H,1
250009,2,2024-08-29,LaLiga,Girona,Osasuna,4,0,H,68.8,17.5,13.7,H,0
250009,3,2024-08-29,LaLiga,Las Palmas,Real Madrid,1,1,D,-0.6,14.3,86.3,A,1
250009,4,2024-08-31,EPL,Nott'm Forest,Wolves,1,1,D,48.1,26.0,26.0,H,1
250009,5,2024-08-31,LaLiga,Barcelona,Valladolid,7,0,H,88.0,11.3,0.7,H,0
250009,6,2024-08-31,EPL,Ipswich,Fulham,1,1,D,31.6,27.1,41.3,A,1
250009,7,2024-08-31,LaLiga,Espanol,Vallecano,2,1,H,34.1,31.8,34.1,H,0
250009,8,2024-08-31,LaLiga,Leganes,Mallorca,0,1,A,38.2,31.9,29.9,H,1
250009,9,2024-08-31,LaLiga,Valencia,Villarreal,1,1,D,33.7,27.8,38.5,A,1
250009,10,2024-08-31,EPL,West Ham,Man City,1,3,A,0.7,13.0,86.3,A,0
250009,11,2024-08-31,LaLiga,Ath Bilbao,Ath Madrid,0,1,A,31.5,28.7,39.8,A,0
250009,12,2024-08-31,EPL,Arsenal,Brighton,1,1,D,88.0,13.0,-1.0,H,1
250009,13,2024-08-31,EPL,Brentford,Southampton,3,1,H,67.5,18.2,14.4,H,0
250009,14,2024-08-31,EPL,Everton,Bournemouth,2,3,A,34.6,28.0,37.4,A,0
250010,1,2024-08-31,LaLiga,Leganes,Mallorca,0,1,A,38.2,31.9,29.9,H,1
250010,2,2024-08-31,LaLiga,Valencia,Villarreal,1,1,D,33.7,27.8,38.5,A,1
250010,3,2024-08-31,EPL,West Ham,Man City,1,3,A,0.7,13.0,86.3,A,0
250010,4,2024-08-31,LaLiga,Ath Bilbao,Ath Madrid,0,1,A,31.5,28.7,39.8,A,0
250010,5,2024-08-31,EPL,Arsenal,Brighton,1,1,D,88.0,13.0,-1.0,H,1
250010,6,2024-08-31,EPL,Brentford,Southampton,3,1,H,67.5,18.2,14.4,H,0
250010,7,2024-08-31,EPL,Everton,Bournemouth,2,3,A,34.6,28.0,37.4,A,0
250010,8,2024-08-31,EPL,Leicester,Aston Villa,1,2,A,13.0,17.7,69.3,A,0
250010,9,2024-09-02,LaLiga,Cadiz,Betis,0,2,A,31.7,31.7,36.6,A,0
250010,10,2024-09-03,EPL,Crystal Palace,Luton,1,1,D,66.6,18.4,15.0,H,1
250010,11,2024-09-03,EPL,Man United,Everton,2,0,H,63.6,19.4,17.0,H,0
250010,12,2024-09-03,EPL,Wolves,Fulham,2,1,H,37.8,27.8,34.4,H,0
250010,13,2024-09-03,EPL,Bournemouth,Sheffield United,2,2,D,88.0,13.4,-1.4,H,1
250010,14,2024-09-03,LaLiga,Valencia,Getafe,1,0,H,47.6,29.7,22.7,H,0
250011,1,2024-08-31,EPL,Leicester,Aston Villa,1,2,A,13.0,17.7,69.3,A,0
250011,2,2024-09-02,LaLiga,Cadiz,Betis,0,2,A,31.7,31.7,36.6,A,0
250011,3,2024-09-03,EPL,Crystal Palace,Luton,1,1,D,66.6,18.4,15.0,H,1
250011,4,2024-09-03,EPL,Man United,Everton,2,0,H,63.6,19.4,17.0,H,0
250011,5,2024-09-03,EPL,Wolves,Fulham,2,1,H,37.8,27.8,34.4,H,0
250011,6,2024-09-03,EPL,Bournemouth,Sheffield United,2,2,D,88.0,13.4,-1.4,H,1
250011,7,2024-09-03,LaLiga,Valencia,Getafe,1,0,H,47.6,29.7,22.7,H,0
250011,8,2024-09-03,LaLiga,Cadiz,Ath Madrid,2,0,H,12.7,19.5,67.8,A,1
250011,9,2024-09-03,LaLiga,Granada,Sociedad,2,3,A,15.3,21.3,63.4,A,0
250011,10,2024-09-03,LaLiga,Girona,Osasuna,2,0,H,73.8,17.1,9.1,H,0
250011,11,2024-09-03,EPL,Arsenal,Brentford,2,1,H,88.0,10.2,1.8,H,0
250011,12,2024-09-11,EPL,Crystal Palace,Fulham,0,2,A,35.3,27.3,37.4,A,0
250011,13,2024-09-11,EPL,Brentford,Bournemouth,3,2,H,37.9,27.1,35.1,H,0
250011,14,2024-09-11,EPL,West Ham,Everton,0,0,D,44.2,27.9,27.9,H,1
250012,1,2024-09-03,LaLiga,Cadiz,Ath Madrid,2,0,H,12.7,19.5,67.8,A,1
250012,2,2024-09-03,LaLiga,Granada,Sociedad,2,3,A,15.3,21.3,63.4,A,0
250012,3,2024-09-03,LaLiga,Girona,Osasuna,2,0,H,73.8,17.1,9.1,H,0
250012,4,2024-09-03,EPL,Arsenal,Brentford,2,1,H,88.0,10.2,1.8,H,0
250012,5,2024-09-11,EPL,Crystal Palace,Fulham,0,2,A,35.3,27.3,37.4,A,0
250012,6,2024-09-11,EPL,Brentford,Bournemouth,3,2,H,37.9,27.1,35.1,H,0
250012,7,2024-09-11,EPL,West Ham,Everton,0,0,D,44.2,27.9,27.9,H,1
250012,8,2024-09-11,EPL,Brighton,Man City,2,1,H,15.0,16.8,68.2,A,1
250012,9,2024-09-11,LaLiga,Real Madrid,Osasuna,4,0,H,88.0,10.2,1.8,H,0
250012,10,2024-09-11,EPL,Liverpool,Aston Villa,2,0,H,84.0,13.6,2.4,H,0
250012,11,2024-09-11,LaLiga,Villarreal,Alaves,3,0,H,73.5,17.9,8.6,H,0
250012,12,2024-09-11,LaLiga,Leganes,Sevilla,1,0,H,33.0,29.7,37.3,A,1
250012,13,2024-09-11,EPL,Wolves,Southampton,2,0,H,49.5,25.2,25.2,H,0
250012,14,2024-09-12,LaLiga,Getafe,Espanol,1,0,H,66.0,23.0,11.0,H,0
250013,1,2024-09-11,EPL,Brighton,Man City,2,1,H,15.0,16.8,68.2,A,1
250013,2,2024-09-11,LaLiga,Real Madrid,Osasuna,4,0,H,88.0,10.2,1.8,H,0
250013,3,2024-09-11,EPL,Liverpool,Aston Villa,2,0,H,84.0,13.6,2.4,H,0
250013,4,2024-09-11,LaLiga,Villarreal,Alaves,3,0,H,73.5,17.9,8.6,H,0
250013,5,2024-09-11,LaLiga,Leganes,Sevilla,1,0,H,33.0,29.7,37.3,A,1
250013,6,2024-09-11,EPL,Wolves,Southampton,2,0,H,49.5,25.2,25.2,H,0
250013,7,2024-09-12,LaLiga,Getafe,Espanol,1,0,H,66.0,23.0,11.0,H,0
250013,8,2024-09-12,EPL,West Ham,Wolves,2,1,H,62.7,18.3,19.0,H,0
250013,9,2024-09-13,LaLiga,Betis,Leganes,2,0,H,73.7,19.4,7.0,H,0
250013,10,2024-09-14,LaLiga,Sociedad,Real Madrid,0,2,A,11.7,18.0,70.2,A,0
250013,11,2024-09-14,LaLiga,Mallorca,Villarreal,1,2,A,38.9,28.0,33.1,H,1
250013,12,2024-09-14,LaLiga,Sevilla,Getafe,1,0,H,43.0,31.5,25.5,H,0
250013,13,2024-09-14,EPL,Liverpool,Nott'm Forest,0,1,A,88.0,10.9,1.1,H,1
250013,14,2024-09-14,EPL,Southampton,Man United,0,3,A,13.0,17.7,69.3,A,0
250014,1,2024-09-12,EPL,West Ham,Wolves,2,1,H,62.7,18.3,19.0,H,0
250014,2,2024-09-13,LaLiga,Betis,Leganes,2,0,H,73.7,19.4,7.0,H,0
250014,3,2024-09-14,LaLiga,Sociedad,Real Madrid,0,2,A,11.7,18.0,70.2,A,0
250014,4,2024-09-14,LaLiga,Mallorca,Villarreal,1,2,A,38.9,28.0,33.1,H,1
250014,5,2024-09-14,LaLiga,Sevilla,Getafe,1,0,H,43.0,31.5,25.5,H,0
250014,6,2024-09-14,EPL,Liverpool,Nott'm Forest,0,1,A,88.0,10.9,1.1,H,1
250014,7,2024-09-14,EPL,Southampton,Man United,0,3,A,13.0,17.7,69.3,A,0
250014,8,2024-09-14,EPL,Man City,Brentford,2,1,H,88.0,8.9,3.1,H,0
250014,9,2024-09-14,EPL,Brighton,Ipswich,0,0,D,85.6,14.2,0.2,H,1
250014,10,2024-09-14,EPL,Bournemouth,Chelsea,0,1,A,27.8,24.9,47.3,A,0
250014,11,2024-09-14,EPL,Aston Villa,Everton,3,2,H,78.7,16.9,4.4,H,0
250014,12,2024-09-14,LaLiga,Espanol,Alaves,3,2,H,36.2,29.8,34.0,H,0
250014,13,2024-09-14,EPL,Crystal Palace,Leicester,2,2,D,73.5,17.9,8.6,H,1
250014,14,2024-09-14,EPL,Fulham,West Ham,1,1,D,39.6,29.0,31.4,H,1
250015,1,2024-09-14,EPL,Man City,Brentford,2,1,H,88.0,8.9,3.1,H,0
250015,2,2024-09-14,EPL,Brighton,Ipswich,0,0,D,85.6,14.2,0.2,H,1
250015,3,2024-09-14,EPL,Bournemouth,Chelsea,0,1,A,27.8,24.9,47.3,A,0
250015,4,2024-09-14,EPL,Aston Villa,Everton,3,2,H,78.7,16.9,4.4,H,0
250015,5,2024-09-14,LaLiga,Espanol,Alaves,3,2,H,36.2,29.8,34.0,H,0
250015,6,2024-09-14,EPL,Crystal Palace,Leicester,2,2,D,73.5,17.9,8.6,H,1
250015,7,2024-09-14,EPL,Fulham,West Ham,1,1,D,39.6,29.0,31.4,H,1
250015,8,2024-09-15,LaLiga,Ath Madrid,Valencia,3,0,H,88.0,15.6,-3.6,H,0
250015,9,2024-09-15,EPL,Wolves,Newcastle,1,2,A,27.9,27.1,45.1,A,0
250015,10,2024-09-15,LaLiga,Celta,Valladolid,3,1,H,71.5,19.1,9.4,H,0
250015,11,2024-09-15,LaLiga,Las Palmas,Ath Bilbao,2,3,A,24.9,27.8,47.3,A,0
250015,12,2024-09-15,EPL,Tottenham,Arsenal,0,1,A,31.6,27.1,41.3,A,0
250015,13,2024-09-15,LaLiga,Girona,Barcelona,1,4,A,15.6,18.7,65.7,A,0
250015,14,2024-09-16,LaLiga,Vallecano,Osasuna,3,1,H,46.0,30.4,23.6,H,0
250016,1,2024-09-15,LaLiga,Ath Madrid,Valencia,3,0,H,88.0,15.6,-3.6,H,0
250016,2,2024-09-15,EPL,Wolves,Newcastle,1,2,A,27.9,27.1,45.1,A,0
250016,3,2024-09-15,LaLiga,Celta,Valladolid,3,1,H,71.5,19.1,9.4,H,0
250016,4,2024-09-15,LaLiga,Las Palmas,Ath Bilbao,2,3,A,24.9,27.8,47.3,A,0
250016,5,2024-09-15,EPL,Tottenham,Arsenal,0,1,A,31.6,27.1,41.3,A,0
250016,6,2024-09-15,LaLiga,Girona,Barcelona,1,4,A,15.6,18.7,65.7,A,0
250016,7,2024-09-16,LaLiga,Vallecano,Osasuna,3,1,H,46.0,30.4,23.6,H,0
250016,8,2024-09-17,LaLiga,Mallorca,Sociedad,1,0,H,33.1,34.9,32.0,D,1
250016,9,2024-09-18,LaLiga,Betis,Getafe,2,1,H,49.5,31.5,18.9,H,0
250016,10,2024-09-19,LaLiga,Leganes,Ath Bilbao,0,2,A,25.0,29.3,45.7,A,0
250016,11,2024-09-20,LaLiga,Alaves,Sevilla,2,1,H,44.0,30.5,25.5,H,0
250016,12,2024-09-21,EPL,Liverpool,Bournemouth,3,0,H,88.0,11.5,0.5,H,0
250016,13,2024-09-21,EPL,Crystal Palace,Man United,0,0,D,33.1,25.4,41.5,A,1
250016,14,2024-09-21,EPL,Tottenham,Brentford,3,1,H,76.9,15.9,7.3,H,0
250017,1,2024-09-17,LaLiga,Mallorca,Sociedad,1,0,H,33.1,34.9,32.0,D,1
250017,2,2024-09-18,LaLiga,Betis,Getafe,2,1,H,49.5,31.5,18.9,H,0
250017,3,2024-09-19,LaLiga,Leganes,Ath Bilbao,0,2,A,25.0,29.3,45.7,A,0
250017,4,2024-09-20,LaLiga,Alaves,Sevilla,2,1,H,44.0,30.5,25.5,H,0
250017,5,2024-09-21,EPL,Liverpool,Bournemouth,3,0,H,88.0,11.5,0.5,H,0
250017,6,2024-09-21,EPL,Crystal Palace,Man United,0,0,D,33.1,25.4,41.5,A,1
250017,7,2024-09-21,EPL,Tottenham,Brentford,3,1,H,76.9,15.9,7.3,H,0
250017,8,2024-09-21,EPL,Southampton,Ipswich,1,1,D,42.6,27.4,30.0,H,1
250017,9,2024-09-21,EPL,Leicester,Everton,1,1,D,38.9,28.0,33.1,H,1
250017,10,2024-09-21,EPL,Fulham,Newcastle,3,1,H,31.9,28.2,39.9,A,1
250017,11,2024-09-21,EPL,Aston Villa,Wolves,3,1,H,74.7,16.8,8.5,H,0
250017,12,2024-09-21,LaLiga,Osasuna,Las Palmas,2,1,H,49.7,27.8,22.5,H,0
250017,13,2024-09-21,LaLiga,Valladolid,Sociedad,0,0,D,24.6,31.9,43.5,A,1
250017,14,2024-09-21,LaLiga,Valencia,Girona,2,0,H,33.1,28.9,38.1,A,1
250018,1,2024-09-21,EPL,Southampton,Ipswich,1,1,D,42.6,27.4,30.0,H,1
250018,2,2024-09-21,EPL,Leicester,Everton,1,1,D,38.9,28.0,33.1,H,1
250018,3,2024-09-21,EPL,Fulham,Newcastle,3,1,H,31.9,28.2,39.9,A,1
250018,4,2024-09-21,EPL,Aston Villa,Wolves,3,1,H,74.7,16.8,8.5,H,0
250018,5,2024-09-21,LaLiga,Osasuna,Las Palmas,2,1,H,49.7,27.8,22.5,H,0
250018,6,2024-09-21,LaLiga,Valladolid,Sociedad,0,0,D,24.6,31.9,43.5,A,1
250018,7,2024-09-21,LaLiga,Valencia,Girona,2,0,H,33.1,28.9,38.1,A,1
250018,8,2024-09-21,LaLiga,Real Madrid,Espanol,4,1,H,88.0,10.2,1.8,H,0
250018,9,2024-09-21,EPL,West Ham,Chelsea,0,3,A,26.5,24.5,49.0,A,0
250018,10,2024-09-22,EPL,Brighton,Nott'm Forest,2,2,D,68.1,19.1,12.8,H,1
250018,11,2024-09-22,LaLiga,Vallecano,Ath Madrid,1,1,D,12.8,21.0,66.2,A,1
250018,12,2024-09-22,LaLiga,Villarreal,Barcelona,1,5,A,17.6,18.3,64.1,A,0
250018,13,2024-09-22,EPL,Man City,Arsenal,2,2,D,65.8,19.7,14.5,H,1
250018,14,2024-09-22,LaLiga,Getafe,Leganes,1,1,D,46.2,33.8,19.9,H,1
250019,1,2024-09-21,LaLiga,Real Madrid,Espanol,4,1,H,88.0,10.2,1.8,H,0
250019,2,2024-09-21,EPL,West Ham,Chelsea,0,3,A,26.5,24.5,49.0,A,0
250019,3,2024-09-22,EPL,Brighton,Nott'm Forest,2,2,D,68.1,19.1,12.8,H,1
250019,4,2024-09-22,LaLiga,Vallecano,Ath Madrid,1,1,D,12.8,21.0,66.2,A,1
250019,5,2024-09-22,LaLiga,Villarreal,Barcelona,1,5,A,17.6,18.3,64.1,A,0
250019,6,2024-09-22,EPL,Man City,Arsenal,2,2,D,65.8,19.7,14.5,H,1
250019,7,2024-09-22,LaLiga,Getafe,Leganes,1,1,D,46.2,33.8,19.9,H,1
250019,8,2024-09-22,LaLiga,Ath Bilbao,Celta,3,1,H,70.1,19.3,10.6,H,0
250019,9,2024-09-23,LaLiga,Betis,Mallorca,1,2,A,64.1,21.6,14.3,H,1
250019,10,2024-09-24,LaLiga,Sevilla,Valladolid,2,1,H,72.1,18.8,9.1,H,0
250019,11,2024-09-24,LaLiga,Valencia,Osasuna,0,0,D,46.6,30.1,23.3,H,1
250019,12,2024-09-24,LaLiga,Real Madrid,Alaves,3,2,H,88.0,10.8,1.2,H,0
250019,13,2024-09-25,LaLiga,Girona,Vallecano,0,0,D,67.5,18.9,13.6,H,1
250019,14,2024-09-25,LaLiga,Barcelona,Getafe,1,0,H,88.0,11.3,0.7,H,0
250020,1,2024-09-22,LaLiga,Ath Bilbao,Celta,3,1,H,70.1,19.3,10.6,H,0
250020,2,2024-09-23,LaLiga,Betis,Mallorca,1,2,A,64.1,21.6,14.3,H,1
250020,3,2024-09-24,LaLiga,Sevilla,Valladolid,2,1,H,72.1,18.8,9.1,H,0
250020,4,2024-09-24,LaLiga,Valencia,Osasuna,0,0,D,46.6,30.1,23.3,H,1
250020,5,2024-09-24,LaLiga,Real Madrid,Alaves,3,2,H,88.0,10.8,1.2,H,0
250020,6,2024-09-25,LaLiga,Girona,Vallecano,0,0,D,67.5,18.9,13.6,H,1
250020,7,2024-09-25,LaLiga,Barcelona,Getafe,1,0,H,88.0,11.3,0.7,H,0
