Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,League
SP1,2020-09-20,Sociedad,Real Madrid,0,0,D,0,0,D,6,16,1,4,17,12,1,11,2,2,0,0,4.75,3.8,1.72,2020-2021,LaLiga
SP1,2020-09-20,Huesca,Cadiz,0,2,A,0,1,A,4,6,0,4,18,23,2,1,3,3,0,0,2.1,3.1,4.0,2020-2021,LaLiga
SP1,2020-09-20,Betis,Valladolid,2,0,H,2,0,H,16,9,6,2,18,10,5,3,3,0,0,0,1.85,3.6,4.33,2020-2021,LaLiga
SP1,2020-09-26,Alaves,Getafe,0,0,D,0,0,D,9,11,0,4,13,13,1,5,2,2,0,0,3.5,2.9,2.37,2020-2021,LaLiga
SP1,2020-09-26,Valencia,Huesca,1,1,D,1,0,H,5,17,2,4,14,20,4,4,0,1,0,0,2.0,3.4,4.0,2020-2021,LaLiga
SP1,2020-09-26,Elche,Sociedad,0,3,A,0,0,D,5,27,2,7,11,12,2,11,3,1,0,0,4.2,3.3,1.95,2020-2021,LaLiga
SP1,2020-09-26,Betis,Real Madrid,2,3,A,2,1,H,15,11,5,4,9,10,8,3,5,2,1,0,4.0,4.0,1.8,2020-2021,LaLiga
SP1,2020-09-27,Osasuna,Levante,1,3,A,1,1,D,9,11,4,5,15,16,3,7,2,0,0,0,2.3,3.2,3.25,2020-2021,LaLiga
SP1,2020-09-27,Eibar,Ath Bilbao,1,2,A,0,1,A,7,9,1,5,15,12,5,4,1,0,0,0,3.0,3.0,2.55,2020-2021,LaLiga
SP1,2020-09-27,Ath Madrid,Granada,6,1,H,1,0,H,17,11,10,6,16,14,1,1,3,1,0,0,1.5,4.0,7.5,2020-2021,LaLiga
SP1,2020-09-27,Cadiz,Sevilla,1,3,A,0,0,D,12,14,5,5,9,14,6,5,4,2,0,0,5.0,3.6,1.7,2020-2021,LaLiga
SP1,2020-09-27,Valladolid,Celta,1,1,D,0,1,A,10,5,4,1,26,18,4,1,3,4,0,0,2.8,3.0,2.7,2020-2021,LaLiga
SP1,2020-09-27,Barcelona,Villarreal,4,0,H,4,0,H,17,5,9,1,9,10,8,4,0,1,0,0,1.53,4.33,6.0,2020-2021,LaLiga
SP1,2020-09-29,Sociedad,Valencia,0,1,A,0,0,D,11,9,3,5,16,15,9,3,1,5,0,0,1.53,4.2,5.75,2020-2021,LaLiga
SP1,2020-09-29,Getafe,Betis,3,0,H,3,0,H,8,10,4,2,15,17,1,4,4,4,0,1,2.45,3.1,3.0,2020-2021,LaLiga
SP1,2020-09-30,Real Madrid,Valladolid,1,0,H,0,0,D,15,11,5,5,11,7,4,7,2,1,0,0,1.22,6.0,11.0,2020-2021,LaLiga
SP1,2020-09-30,Eibar,Elche,0,1,A,0,1,A,12,5,4,2,9,14,3,2,2,2,0,0,1.8,3.5,4.5,2020-2021,LaLiga
SP1,2020-09-30,Villarreal,Alaves,3,1,H,2,1,H,10,8,6,3,11,13,2,0,0,2,0,0,1.57,3.8,5.75,2020-2021,LaLiga
SP1,2020-09-30,Huesca,Ath Madrid,0,0,D,0,0,D,9,16,3,2,13,10,5,7,1,0,0,0,7.5,4.2,1.45,2020-2021,LaLiga
SP1,2020-10-01,Ath Bilbao,Cadiz,0,1,A,0,0,D,13,3,4,1,15,16,5,2,3,5,0,2,1.53,3.8,6.5,2020-2021,LaLiga
SP1,2020-10-01,Sevilla,Levante,1,0,H,0,0,D,16,3,2,1,14,17,2,4,5,2,0,0,1.4,4.5,7.5,2020-2021,LaLiga
SP1,2020-10-01,Celta,Barcelona,0,3,A,0,1,A,10,6,3,3,22,10,3,7,5,5,0,1,5.75,4.2,1.53,2020-2021,LaLiga
SP1,2020-10-03,Valladolid,Eibar,1,2,A,1,1,D,9,11,3,5,11,21,3,4,2,3,0,1,2.35,3.0,3.4,2020-2021,LaLiga
SP1,2020-10-03,Ath Madrid,Villarreal,0,0,D,0,0,D,14,6,1,2,11,7,9,1,1,2,0,0,1.61,3.9,5.5,2020-2021,LaLiga
SP1,2020-10-03,Elche,Huesca,0,0,D,0,0,D,2,18,0,4,8,26,0,5,0,2,0,0,3.1,3.1,2.45,2020-2021,LaLiga
SP1,2020-10-03,Sociedad,Getafe,3,0,H,1,0,H,11,5,6,1,21,13,5,4,3,3,0,0,2.25,3.1,3.5,2020-2021,LaLiga
SP1,2020-10-03,Valencia,Betis,0,2,A,0,1,A,5,17,2,8,11,14,4,7,2,2,0,0,2.8,3.2,2.6,2020-2021,LaLiga
SP1,2020-10-04,Barcelona,Sevilla,1,1,D,1,1,D,12,13,5,1,11,18,6,5,1,1,0,0,1.57,4.33,5.25,2020-2021,LaLiga
SP1,2020-10-04,Levante,Real Madrid,0,2,A,0,1,A,11,13,4,3,14,8,4,6,2,1,0,0,6.0,4.5,1.5,2020-2021,LaLiga
SP1,2020-10-04,Cadiz,Granada,1,1,D,0,1,A,14,13,4,5,16,16,2,5,2,2,0,0,3.0,3.0,2.6,2020-2021,LaLiga
SP1,2020-10-04,Osasuna,Celta,2,0,H,1,0,H,14,9,5,3,19,10,6,5,3,3,0,0,2.7,3.1,2.75,2020-2021,LaLiga
SP1,2020-10-04,Alaves,Ath Bilbao,1,0,H,0,0,D,8,8,3,0,20,17,0,6,2,3,1,0,3.3,2.9,2.37,2020-2021,LaLiga
SP1,2020-10-17,Granada,Sevilla,1,0,H,0,0,D,13,8,3,3,16,11,5,1,4,4,0,1,4.2,3.4,1.9,2020-2021,LaLiga
SP1,2020-10-17,Celta,Ath Madrid,0,2,A,0,1,A,15,9,5,4,16,18,8,4,3,4,0,0,5.5,3.3,1.75,2020-2021,LaLiga
SP1,2020-10-17,Real Madrid,Cadiz,0,1,A,0,1,A,14,14,2,5,7,5,4,11,2,0,0,0,1.18,7.0,15.0,2020-2021,LaLiga
SP1,2020-10-17,Getafe,Barcelona,1,0,H,0,0,D,9,7,4,1,20,10,7,2,4,3,0,0,4.75,3.8,1.72,2020-2021,LaLiga
SP1,2020-10-18,Eibar,Osasuna,0,0,D,0,0,D,10,8,6,2,14,14,6,7,2,3,0,1,2.6,3.0,3.0,2020-2021,LaLiga
SP1,2020-10-18,Ath Bilbao,Levante,2,0,H,0,0,D,14,6,5,1,11,10,9,3,3,1,0,0,2.05,3.2,4.0,2020-2021,LaLiga
SP1,2020-10-18,Villarreal,Valencia,2,1,H,1,1,D,16,11,6,3,13,8,3,7,4,1,1,0,1.6,4.0,5.25,2020-2021,LaLiga
SP1,2020-10-18,Alaves,Elche,0,2,A,0,1,A,13,7,2,3,11,11,2,6,2,5,0,0,1.75,3.3,5.5,2020-2021,LaLiga
SP1,2020-10-18,Huesca,Valladolid,2,2,D,0,1,A,12,5,7,3,14,24,3,1,1,2,0,0,2.25,2.9,3.8,2020-2021,LaLiga
SP1,2020-10-18,Betis,Sociedad,0,3,A,0,1,A,7,8,1,5,11,18,6,2,2,1,0,0,2.5,3.25,2.9,2020-2021,LaLiga
SP1,2020-10-23,Elche,Valencia,2,1,H,2,0,H,3,14,2,4,15,8,0,7,3,2,0,0,3.2,3.1,2.4,2020-2021,LaLiga
SP1,2020-10-24,Sevilla,Eibar,0,1,A,0,1,A,21,3,3,1,11,12,13,3,0,3,0,0,1.45,4.33,7.5,2020-2021,LaLiga
SP1,2020-10-24,Ath Madrid,Betis,2,0,H,0,0,D,13,12,6,3,19,12,8,5,2,0,0,1,1.55,3.8,6.5,2020-2021,LaLiga
SP1,2020-10-24,Barcelona,Real Madrid,1,3,A,1,1,D,10,15,4,9,11,13,7,7,3,2,0,0,2.0,3.6,3.6,2020-2021,LaLiga
SP1,2020-10-24,Osasuna,Ath Bilbao,1,0,H,0,0,D,7,13,2,5,18,10,2,5,3,2,0,0,3.25,2.9,2.4,2020-2021,LaLiga
SP1,2020-10-25,Valladolid,Alaves,0,2,A,0,0,D,5,14,1,4,9,7,2,4,1,0,1,0,2.3,2.9,3.5,2020-2021,LaLiga
SP1,2020-10-25,Cadiz,Villarreal,0,0,D,0,0,D,5,7,0,2,15,7,0,5,2,2,0,0,3.6,3.3,2.1,2020-2021,LaLiga
SP1,2020-10-25,Getafe,Granada,0,1,A,0,1,A,10,5,1,2,19,23,6,1,4,2,0,0,1.85,3.1,5.0,2020-2021,LaLiga
SP1,2020-10-25,Sociedad,Huesca,4,1,H,1,0,H,13,6,6,4,12,11,4,5,2,1,0,0,1.57,3.75,6.0,2020-2021,LaLiga
SP1,2020-10-26,Levante,Celta,1,1,D,0,0,D,10,10,3,3,11,19,3,2,2,2,0,0,2.37,3.25,3.0,2020-2021,LaLiga
SP1,2020-10-30,Eibar,Cadiz,0,2,A,0,2,A,9,6,3,4,10,10,7,2,1,1,0,0,2.55,2.75,3.3,2020-2021,LaLiga
SP1,2020-10-31,Real Madrid,Huesca,4,1,H,2,0,H,13,9,6,2,16,9,6,3,0,2,0,0,1.33,5.25,9.0,2020-2021,LaLiga
SP1,2020-10-31,Ath Bilbao,Sevilla,2,1,H,0,1,A,16,7,5,3,17,19,6,1,5,5,0,0,3.0,3.0,2.6,2020-2021,LaLiga
SP1,2020-10-31,Osasuna,Ath Madrid,1,3,A,0,1,A,8,11,3,6,12,10,3,2,1,2,0,0,5.5,3.3,1.75,2020-2021,LaLiga
SP1,2020-10-31,Alaves,Barcelona,1,1,D,1,0,H,4,25,3,9,16,4,2,14,4,3,1,0,6.5,4.75,1.44,2020-2021,LaLiga
SP1,2020-11-01,Celta,Sociedad,1,4,A,0,2,A,9,9,2,7,19,16,2,3,2,5,1,0,3.0,3.2,2.45,2020-2021,LaLiga
SP1,2020-11-01,Valencia,Getafe,2,2,D,1,0,H,11,16,5,5,18,25,0,3,8,5,1,1,3.1,3.1,2.45,2020-2021,LaLiga
SP1,2020-11-01,Betis,Elche,3,1,H,2,0,H,17,4,10,2,13,12,1,1,2,1,0,0,1.45,4.33,7.5,2020-2021,LaLiga
SP1,2020-11-01,Granada,Levante,1,1,D,1,1,D,5,19,2,4,7,14,2,8,2,3,1,0,2.25,3.2,3.4,2020-2021,LaLiga
SP1,2020-11-02,Villarreal,Valladolid,2,0,H,2,0,H,11,11,5,1,13,13,6,4,1,3,0,0,1.61,4.0,5.5,2020-2021,LaLiga
SP1,2020-11-06,Elche,Celta,1,1,D,1,1,D,8,14,1,6,18,12,3,3,3,4,0,0,4.0,3.3,1.95,2020-2021,LaLiga
SP1,2020-11-07,Huesca,Eibar,1,1,D,0,1,A,14,8,6,3,16,30,4,3,2,0,0,0,2.05,3.3,3.6,2020-2021,LaLiga
SP1,2020-11-07,Barcelona,Betis,5,2,H,1,1,D,18,12,9,6,8,10,9,5,2,2,0,1,1.4,5.0,7.5,2020-2021,LaLiga
SP1,2020-11-07,Sevilla,Osasuna,1,0,H,0,0,D,9,10,1,2,11,19,3,0,2,3,0,0,1.5,4.0,7.0,2020-2021,LaLiga
SP1,2020-11-07,Ath Madrid,Cadiz,4,0,H,2,0,H,17,10,7,3,10,9,2,7,1,1,0,0,1.4,4.2,10.0,2020-2021,LaLiga
SP1,2020-11-08,Getafe,Villarreal,1,3,A,1,2,A,13,9,5,5,18,11,3,3,3,4,0,0,2.5,3.1,3.0,2020-2021,LaLiga
SP1,2020-11-08,Sociedad,Granada,2,0,H,2,0,H,22,2,9,1,8,11,15,0,2,1,1,0,1.65,3.8,5.25,2020-2021,LaLiga
SP1,2020-11-08,Levante,Alaves,1,1,D,0,1,A,18,6,5,2,12,16,12,1,1,6,0,1,2.15,3.4,3.4,2020-2021,LaLiga
SP1,2020-11-08,Valladolid,Ath Bilbao,2,1,H,1,0,H,7,17,4,2,23,11,2,11,4,2,0,0,3.3,2.9,2.37,2020-2021,LaLiga
SP1,2020-11-08,Valencia,Real Madrid,4,1,H,2,1,H,7,16,4,6,13,14,1,8,3,2,0,0,6.0,4.75,1.45,2020-2021,LaLiga
SP1,2020-11-20,Osasuna,Huesca,1,1,D,0,1,A,18,6,7,5,14,15,4,3,2,3,0,0,2.4,3.0,3.25,2020-2021,LaLiga
SP1,2020-11-21,Sevilla,Celta,4,2,H,2,2,D,15,10,10,7,14,20,3,2,2,2,0,0,1.72,3.6,5.25,2020-2021,LaLiga
SP1,2020-11-21,Ath Madrid,Barcelona,1,0,H,1,0,H,9,13,2,4,12,6,8,8,4,0,0,0,2.9,3.5,2.37,2020-2021,LaLiga
SP1,2020-11-21,Villarreal,Real Madrid,1,1,D,0,1,A,13,6,1,1,16,14,4,2,1,2,0,0,2.87,3.8,2.25,2020-2021,LaLiga
SP1,2020-11-21,Levante,Elche,1,1,D,1,0,H,13,11,5,5,15,11,5,4,1,4,0,0,1.57,4.0,5.75,2020-2021,LaLiga
SP1,2020-11-22,Eibar,Getafe,0,0,D,0,0,D,15,8,5,3,16,22,3,4,3,4,1,0,3.4,3.0,2.35,2020-2021,LaLiga
SP1,2020-11-22,Cadiz,Sociedad,0,1,A,0,0,D,2,14,0,4,14,14,1,6,2,1,0,0,4.0,3.8,1.85,2020-2021,LaLiga
SP1,2020-11-22,Granada,Valladolid,1,3,A,0,1,A,16,9,6,3,16,14,5,3,4,3,0,0,2.1,3.2,3.8,2020-2021,LaLiga
SP1,2020-11-22,Alaves,Valencia,2,2,D,2,0,H,13,13,3,5,21,16,4,5,1,1,0,0,2.7,3.2,2.8,2020-2021,LaLiga
SP1,2020-11-23,Ath Bilbao,Betis,4,0,H,2,0,H,14,7,9,1,16,8,6,3,0,0,0,0,2.2,3.3,3.4,2020-2021,LaLiga
SP1,2020-11-27,Valladolid,Levante,1,1,D,0,0,D,10,10,4,3,18,11,3,11,0,3,0,0,2.55,3.3,2.8,2020-2021,LaLiga
SP1,2020-11-28,Elche,Cadiz,1,1,D,1,0,H,4,7,3,2,16,15,1,9,6,2,1,0,3.2,3.0,2.45,2020-2021,LaLiga
SP1,2020-11-28,Valencia,Ath Madrid,0,1,A,0,0,D,5,14,2,6,12,15,2,7,2,5,0,0,4.75,3.8,1.72,2020-2021,LaLiga
SP1,2020-11-28,Huesca,Sevilla,0,1,A,0,0,D,5,16,1,4,14,9,1,10,4,3,0,0,4.0,3.3,2.0,2020-2021,LaLiga
SP1,2020-11-28,Real Madrid,Alaves,1,2,A,0,1,A,20,11,9,6,8,17,12,9,2,3,0,0,1.33,5.25,9.0,2020-2021,LaLiga
SP1,2020-11-29,Celta,Granada,3,1,H,1,1,D,17,9,8,2,14,13,8,0,4,3,1,0,2.0,3.5,3.75,2020-2021,LaLiga
SP1,2020-11-29,Sociedad,Villarreal,1,1,D,1,1,D,8,10,4,2,18,12,4,4,5,3,0,0,2.1,3.6,3.4,2020-2021,LaLiga
SP1,2020-11-29,Getafe,Ath Bilbao,1,1,D,0,1,A,11,5,3,2,16,23,3,2,2,4,0,0,2.8,2.9,2.8,2020-2021,LaLiga
SP1,2020-11-29,Barcelona,Osasuna,4,0,H,2,0,H,20,10,11,5,8,12,5,3,1,0,0,0,1.25,6.0,11.0,2020-2021,LaLiga
SP1,2020-11-30,Betis,Eibar,0,2,A,0,0,D,7,11,3,6,13,14,6,2,2,1,0,0,1.75,3.75,4.5,2020-2021,LaLiga
SP1,2020-12-04,Ath Bilbao,Celta,0,2,A,0,0,D,10,6,0,4,7,15,4,5,2,1,0,0,2.05,3.25,3.8,2020-2021,LaLiga
SP1,2020-12-05,Levante,Getafe,3,0,H,2,0,H,12,9,8,0,12,13,5,5,2,7,0,2,2.9,3.1,2.55,2020-2021,LaLiga
SP1,2020-12-05,Sevilla,Real Madrid,0,1,A,0,0,D,12,10,2,3,15,20,4,3,1,3,0,0,2.5,3.5,2.7,2020-2021,LaLiga
SP1,2020-12-05,Ath Madrid,Valladolid,2,0,H,0,0,D,15,13,4,3,10,10,4,4,4,2,0,0,1.4,4.33,9.5,2020-2021,LaLiga
SP1,2020-12-05,Cadiz,Barcelona,2,1,H,1,0,H,7,21,3,8,10,7,5,13,0,2,0,0,8.5,5.0,1.36,2020-2021,LaLiga
SP1,2020-12-06,Granada,Huesca,3,3,D,1,1,D,15,16,6,7,12,16,4,2,2,0,0,0,2.3,3.1,3.4,2020-2021,LaLiga
SP1,2020-12-06,Osasuna,Betis,0,2,A,0,0,D,10,12,0,5,16,12,2,5,3,2,0,0,2.62,3.3,2.7,2020-2021,LaLiga
SP1,2020-12-06,Villarreal,Elche,0,0,D,0,0,D,12,3,3,0,16,13,4,0,3,2,0,0,1.3,5.5,9.5,2020-2021,LaLiga
SP1,2020-12-06,Alaves,Sociedad,0,0,D,0,0,D,5,13,1,5,3,11,2,3,1,0,1,0,4.75,3.5,1.8,2020-2021,LaLiga
SP1,2020-12-07,Eibar,Valencia,0,0,D,0,0,D,19,6,3,4,15,10,8,0,3,2,0,0,2.45,3.1,3.1,2020-2021,LaLiga
SP1,2020-12-11,Valladolid,Osasuna,3,2,H,1,2,A,11,13,6,6,14,18,3,3,4,5,0,0,2.5,3.1,3.0,2020-2021,LaLiga
SP1,2020-12-12,Real Madrid,Ath Madrid,2,0,H,1,0,H,11,5,3,1,7,16,3,6,1,3,0,0,2.3,3.3,3.1,2020-2021,LaLiga
SP1,2020-12-12,Huesca,Alaves,1,0,H,0,0,D,11,3,3,1,14,20,5,2,1,4,0,0,2.2,3.2,3.5,2020-2021,LaLiga
SP1,2020-12-12,Getafe,Sevilla,0,1,A,0,0,D,8,8,2,0,14,13,5,3,2,3,0,0,3.75,3.2,2.1,2020-2021,LaLiga
SP1,2020-12-12,Valencia,Ath Bilbao,2,2,D,1,0,H,11,13,2,5,19,16,0,10,2,6,0,0,3.25,3.1,2.35,2020-2021,LaLiga
SP1,2020-12-13,Sociedad,Eibar,1,1,D,1,0,H,8,16,2,4,14,11,5,4,4,3,0,0,1.6,3.75,6.0,2020-2021,LaLiga
SP1,2020-12-13,Betis,Villarreal,1,1,D,0,1,A,11,7,5,2,13,14,4,8,2,3,0,0,3.1,3.5,2.25,2020-2021,LaLiga
SP1,2020-12-13,Elche,Granada,0,1,A,0,1,A,9,13,1,5,16,15,6,5,4,2,0,0,3.4,3.1,2.3,2020-2021,LaLiga
SP1,2020-12-13,Barcelona,Levante,1,0,H,0,0,D,24,7,13,3,4,15,12,4,2,1,0,0,1.22,7.0,11.0,2020-2021,LaLiga
SP1,2020-12-14,Celta,Cadiz,4,0,H,4,0,H,8,12,5,2,24,9,1,5,2,1,0,0,1.72,3.6,5.25,2020-2021,LaLiga
SP1,2020-12-15,Real Madrid,Ath Bilbao,3,1,H,1,0,H,18,10,5,4,8,9,6,6,1,3,0,1,1.53,4.33,5.75,2020-2021,LaLiga
SP1,2020-12-16,Barcelona,Sociedad,2,1,H,2,1,H,14,12,4,5,18,14,2,3,3,3,0,0,1.6,4.5,5.0,2020-2021,LaLiga
SP1,2020-12-18,Ath Bilbao,Huesca,2,0,H,0,0,D,10,6,3,1,9,16,5,5,0,3,0,1,1.9,3.3,4.33,2020-2021,LaLiga
SP1,2020-12-19,Sevilla,Valladolid,1,1,D,1,0,H,14,12,3,5,14,10,7,7,3,4,0,0,1.53,3.75,7.5,2020-2021,LaLiga
SP1,2020-12-19,Osasuna,Villarreal,1,3,A,0,2,A,6,13,1,6,17,16,2,2,2,2,1,0,3.6,3.4,2.1,2020-2021,LaLiga
SP1,2020-12-19,Levante,Sociedad,2,1,H,1,1,D,13,15,5,5,19,14,3,4,2,1,0,0,3.4,3.4,2.15,2020-2021,LaLiga
SP1,2020-12-19,Barcelona,Valencia,2,2,D,1,1,D,25,12,9,4,10,14,8,3,4,2,0,0,1.3,6.0,8.5,2020-2021,LaLiga
SP1,2020-12-19,Ath Madrid,Elche,3,1,H,1,0,H,12,8,6,3,13,14,2,5,1,2,0,0,1.2,6.0,19.0,2020-2021,LaLiga
SP1,2020-12-20,Celta,Alaves,2,0,H,1,0,H,11,8,3,2,18,12,3,5,2,2,0,0,1.7,4.0,4.75,2020-2021,LaLiga
SP1,2020-12-20,Granada,Betis,2,0,H,2,0,H,8,14,3,1,21,16,1,10,3,4,0,0,2.45,3.4,2.87,2020-2021,LaLiga
SP1,2020-12-20,Cadiz,Getafe,0,2,A,0,1,A,8,6,1,4,6,22,2,4,1,6,0,0,3.3,2.9,2.45,2020-2021,LaLiga
SP1,2020-12-20,Eibar,Real Madrid,1,3,A,1,2,A,10,11,3,5,11,7,4,4,1,0,0,0,6.5,4.2,1.5,2020-2021,LaLiga
SP1,2020-12-22,Elche,Osasuna,2,2,D,0,1,A,7,15,2,6,8,17,4,4,1,2,0,1,3.3,3.0,2.37,2020-2021,LaLiga
SP1,2020-12-22,Valencia,Sevilla,0,1,A,0,0,D,10,19,4,3,11,17,3,5,3,2,0,0,3.75,3.4,2.0,2020-2021,LaLiga
SP1,2020-12-22,Huesca,Levante,1,1,D,1,0,H,11,9,2,1,10,17,10,3,2,3,0,0,2.62,3.4,2.6,2020-2021,LaLiga
SP1,2020-12-22,Sociedad,Ath Madrid,0,2,A,0,0,D,6,8,1,3,20,17,5,5,3,3,0,0,3.3,3.2,2.25,2020-2021,LaLiga
SP1,2020-12-22,Valladolid,Barcelona,0,3,A,0,2,A,12,21,5,10,12,10,4,5,1,2,0,0,7.0,5.4,1.36,2020-2021,LaLiga
SP1,2020-12-22,Villarreal,Ath Bilbao,1,1,D,0,1,A,17,9,6,3,10,18,6,4,1,1,0,0,2.0,3.4,3.8,2020-2021,LaLiga
SP1,2020-12-23,Alaves,Eibar,2,1,H,2,1,H,13,8,3,4,10,14,2,7,4,2,0,0,2.75,2.87,2.9,2020-2021,LaLiga
SP1,2020-12-23,Betis,Cadiz,1,0,H,0,0,D,6,6,1,3,18,9,5,5,1,1,0,0,1.9,3.5,4.1,2020-2021,LaLiga
SP1,2020-12-23,Getafe,Celta,1,1,D,1,1,D,6,2,3,1,17,16,1,4,3,3,0,0,2.75,3.0,2.8,2020-2021,LaLiga
SP1,2020-12-23,Real Madrid,Granada,2,0,H,0,0,D,23,10,6,1,13,11,8,1,2,1,0,0,1.33,5.25,9.0,2020-2021,LaLiga
SP1,2020-12-29,Sevilla,Villarreal,2,0,H,1,0,H,10,6,3,2,13,14,4,7,1,4,0,0,2.25,3.3,3.25,2020-2021,LaLiga
SP1,2020-12-29,Barcelona,Eibar,1,1,D,0,0,D,16,9,5,3,6,15,5,7,0,2,0,0,1.28,5.75,9.5,2020-2021,LaLiga
SP1,2020-12-29,Cadiz,Valladolid,0,0,D,0,0,D,8,7,3,1,14,13,1,6,3,2,0,0,2.87,2.9,2.75,2020-2021,LaLiga
SP1,2020-12-29,Levante,Betis,4,3,H,3,1,H,10,19,5,7,9,14,3,6,3,2,1,0,2.4,3.4,2.9,2020-2021,LaLiga
SP1,2020-12-30,Granada,Valencia,2,1,H,1,1,D,24,16,5,6,16,15,6,6,4,4,1,2,2.2,3.3,3.4,2020-2021,LaLiga
SP1,2020-12-30,Ath Madrid,Getafe,1,0,H,1,0,H,10,10,3,2,7,12,5,2,2,3,0,0,1.44,4.2,8.5,2020-2021,LaLiga
SP1,2020-12-30,Celta,Huesca,2,1,H,1,0,H,15,17,6,6,19,8,0,5,2,0,0,0,1.75,3.75,4.6,2020-2021,LaLiga
SP1,2020-12-30,Elche,Real Madrid,1,1,D,0,1,A,6,14,3,6,8,18,2,3,1,4,0,0,10.0,6.5,1.25,2020-2021,LaLiga
SP1,2020-12-31,Ath Bilbao,Sociedad,0,1,A,0,1,A,4,13,0,3,23,18,2,4,5,4,0,0,3.0,3.2,2.5,2020-2021,LaLiga
SP1,2020-12-31,Osasuna,Alaves,1,1,D,0,0,D,8,15,3,1,12,9,5,4,3,4,1,0,2.35,3.25,3.1,2020-2021,LaLiga
SP1,2021-01-02,Real Madrid,Celta,2,0,H,1,0,H,9,6,2,1,14,14,1,5,4,2,0,0,1.44,4.75,6.5,2020-2021,LaLiga
SP1,2021-01-02,Getafe,Valladolid,0,1,A,0,1,A,11,8,4,2,13,13,5,9,3,2,0,0,1.95,3.1,4.5,2020-2021,LaLiga
SP1,2021-01-02,Villarreal,Levante,2,1,H,1,0,H,12,9,7,2,12,11,3,5,1,1,0,0,1.65,3.8,5.5,2020-2021,LaLiga
SP1,2021-01-02,Betis,Sevilla,1,1,D,0,0,D,16,6,3,2,15,18,2,1,5,2,0,0,3.9,3.5,1.95,2020-2021,LaLiga
SP1,2021-01-03,Ath Bilbao,Elche,1,0,H,1,0,H,13,5,2,2,15,13,5,4,2,1,0,0,1.5,3.8,8.0,2020-2021,LaLiga
SP1,2021-01-03,Alaves,Ath Madrid,1,2,A,0,1,A,4,8,1,4,14,12,1,5,0,2,1,0,7.0,3.75,1.53,2020-2021,LaLiga
SP1,2021-01-03,Eibar,Granada,2,0,H,0,0,D,15,6,7,3,10,9,4,2,2,1,0,0,2.37,3.0,3.3,2020-2021,LaLiga
SP1,2021-01-03,Sociedad,Osasuna,1,1,D,0,1,A,8,6,2,2,15,8,7,2,1,1,0,0,1.53,4.0,6.5,2020-2021,LaLiga
SP1,2021-01-03,Huesca,Barcelona,0,1,A,0,1,A,4,20,4,7,12,11,2,6,1,0,0,0,6.5,4.75,1.44,2020-2021,LaLiga
SP1,2021-01-04,Valencia,Cadiz,1,1,D,0,0,D,11,9,4,2,11,17,9,7,2,2,0,0,2.0,3.4,3.75,2020-2021,LaLiga
SP1,2021-01-06,Ath Bilbao,Barcelona,2,3,A,1,2,A,8,13,3,9,10,6,3,4,2,1,0,0,4.2,3.6,1.83,2020-2021,LaLiga
SP1,2021-01-08,Celta,Villarreal,0,4,A,0,4,A,8,15,3,6,15,18,3,4,1,0,0,0,3.4,3.3,2.2,2020-2021,LaLiga
SP1,2021-01-09,Sevilla,Sociedad,3,2,H,2,2,D,12,10,7,4,8,18,2,9,0,3,0,0,2.2,3.1,3.6,2020-2021,LaLiga
